loc1,loc2,total,1p,2p,3p,4p,5p,6p,7pplus
강원,속초시,32809,10011,10130,6505,4602,1207,270,84
강원,삼척시,29243,10647,9072,5038,3199,960,243,84
강원,홍천군,27220,8349,8988,4975,3329,1109,346,124
강원,횡성군,17421,5118,6319,3114,1832,711,226,101
강원,영월군,16163,5551,5637,2725,1524,506,159,61
강원,평창군,17269,5732,5814,3091,1780,604,167,81
강원,정선군,15347,5128,5331,2651,1449,559,176,53
강원,철원군,18526,6323,5215,3292,2424,903,256,113
강원,화천군,11057,4766,2796,1662,1201,468,115,49
강원,양구군,9331,3439,2586,1588,1169,400,113,36
강원,인제군,12840,4549,3634,2237,1666,550,147,57
강원,고성군,12982,5723,3713,1957,1022,405,118,44
강원,양양군,11223,3795,3875,1947,1103,352,115,36
충북,충주시,85152,27502,24374,16459,12081,3566,855,315
충북,제천시,55381,17451,17119,10424,7404,2244,565,174
충북,청주시,314331,89676,76033,66605,60539,16771,3667,1040
충북,상당구,62532,15078,16564,13887,12312,3579,858,254
충북,서원구,82290,23598,19747,17357,16037,4334,934,283
충북,흥덕구,97008,29523,22614,20170,18288,5056,1085,272
충북,청원구,72501,21477,17108,15191,13902,3802,790,231
충북,보은군,13780,4424,5108,2205,1239,533,192,79
충북,옥천군,19864,5368,7182,3557,2468,900,262,127
충북,영동군,20873,7307,6839,3429,2081,826,294,97
충북,진천군,26817,8048,7869,5000,4089,1350,347,114
충북,괴산군,16214,5897,5924,2450,1209,491,173,70
충북,음성군,38634,13231,11262,6874,5009,1669,443,146
충북,단양군,12311,3946,4511,2128,1144,411,122,49
충북,증평군,14557,4527,3963,2786,2292,773,155,61
충남,천안시,238778,75329,53863,48135,46029,12100,2531,791
충남,동남구,102415,32514,24565,20072,18550,5137,1190,387
충남,서북구,136363,42815,29298,28063,27479,6963,1341,404
충남,공주시,43921,14114,13526,7915,5477,1951,667,271
충남,보령시,40782,12022,13715,7430,5197,1739,478,201
충남,아산시,113605,32456,28077,23079,21971,6251,1336,435
충남,서산시,64727,17746,18995,13259,10616,3104,724,283
충남,논산시,48460,15346,15509,8661,5900,2153,634,257
충남,계룡시,14051,2614,3544,3352,3326,974,183,58
충남,당진시,64303,19432,18442,12245,9983,3160,761,280
충남,금산군,23913,8849,7693,3683,2369,906,289,124
충남,부여군,27985,8507,10191,4746,2815,1159,376,191
충남,서천군,22848,7141,8559,3850,2125,795,257,121
충남,청양군,13084,4082,4831,2101,1221,561,193,95
충남,홍성군,40135,12573,12358,7316,5421,1797,485,185
충남,예산군,31878,9251,11212,5784,3704,1299,457,171
충남,태안군,25260,7594,9267,4449,2656,906,277,111
전북,전주시,249563,71515,62606,51283,46050,14169,3109,831
전북,완산구,139361,39853,35523,28951,25388,7564,1650,432
전북,덕진구,110202,31662,27083,22332,20662,6605,1459,399
전북,군산시,108113,33020,30078,21298,17140,5050,1175,352
전북,익산시,117839,36474,32873,22782,18201,5685,1366,458
전북,정읍시,45300,14279,15107,7957,5286,1949,536,186
전북,남원시,33251,10591,10947,5850,3838,1431,424,170
전북,김제시,34789,11008,12323,5816,3624,1392,445,181
전북,완주군,37708,12182,10924,6709,5165,1946,549,233
전북,진안군,9981,3398,3584,1567,866,351,136,79
전북,무주군,9988,3320,3594,1505,972,396,140,61
전북,장수군,9041,2941,3231,1373,876,410,139,71
전북,임실군,11691,4187,4045,1779,994,453,154,79
전북,순창군,11464,3807,4108,1746,1041,472,197,93
전북,고창군,23505,7931,8383,3634,2190,911,336,120
전북,부안군,22445,7548,7792,3716,2131,867,277,114
전남,목포시,93334,27748,26055,18448,14831,4892,1057,303
전남,여수시,107641,29570,32798,22088,16449,5079,1223,434
전남,순천시,101344,26404,28608,21481,18065,5350,1118,318
전남,나주시,40683,14732,12466,6718,4555,1573,441,198
전남,광양시,54550,14065,15496,11768,9715,2723,595,188
전남,담양군,17109,5150,6265,2895,1728,703,246,122
전남,곡성군,12721,5191,4112,1737,1012,464,141,64
전남,구례군,10736,3860,3652,1660,945,407,145,67
전남,고흥군,29198,11151,10903,3966,2027,758,283,110
전남,보성군,18125,6748,6413,2717,1343,608,202,94
전남,화순군,24953,7866,8147,4371,3009,1174,285,101
전남,장흥군,16297,5876,5696,2458,1412,595,179,81
전남,강진군,15084,5446,5309,2254,1259,543,187,86
전남,해남군,28953,9749,10137,4519,2795,1171,369,213
전남,영암군,23332,8318,7265,3797,2581,969,289,113
전남,무안군,31359,10191,9278,5536,4356,1502,367,129
전남,함평군,13400,4867,4831,1951,1035,444,184,88
전남,영광군,21180,7065,7251,3473,2165,853,256,117
전남,장성군,16603,4970,6070,2851,1718,682,205,107
전남,완도군,20892,7033,7611,3278,1860,770,246,94
전남,진도군,13173,4941,4607,1920,1025,460,159,61
전남,신안군,16530,6284,6044,2345,1101,472,193,91
경북,포항시,199175,53247,58265,44836,33012,7730,1605,480
경북,경주시,105400,34493,30760,20409,14612,3843,945,338
경북,김천시,55285,16847,17082,10456,7790,2282,619,209
경북,안동시,68192,21974,20964,12513,9088,2705,717,231
경북,구미시,159917,48338,36384,34619,31871,7020,1312,373
경북,영주시,44582,13937,14947,8153,5280,1654,465,146
경북,영천시,40947,13450,13779,7213,4560,1383,414,148
경북,상주시,41997,13792,14330,7176,4495,1553,470,181
경북,문경시,29825,9357,10410,5290,3212,1078,332,146
경북,경산시,106396,34448,28140,20950,17054,4597,948,259
경북,군위군,10166,3701,3981,1422,710,238,73,41
경북,의성군,23733,8520,9394,3298,1656,571,217,77
경북,청송군,11401,3994,4457,1679,845,296,101,29
경북,영양군,7559,2617,2919,1108,585,229,70,31
경북,영덕군,17096,6497,6148,2478,1324,478,125,46
경북,청도군,18170,6393,6622,2903,1543,467,181,61
경북,고령군,13476,4202,4739,2336,1474,500,154,71
경북,성주군,17324,5643,6253,2937,1580,580,227,104
경북,칠곡군,46899,14453,12464,9676,7782,1981,420,123
경북,예천군,19459,6576,7063,3071,1809,632,208,100
경북,봉화군,14034,4660,5393,2176,1152,430,154,69
경북,울진군,21569,7764,7184,3437,2287,654,175,68
경북,울릉군,3979,1644,1252,585,335,123,30,10
경남,진주시,135912,40393,36019,27623,23390,6610,1476,401
경남,통영시,53411,15355,16229,10573,8074,2396,589,195
경남,사천시,44690,13227,13916,8641,6455,1879,425,147
경남,김해시,187699,44413,45297,43798,41663,10041,1938,549
경남,밀양시,43959,14597,14563,7559,5048,1643,397,152
경남,거제시,95037,26678,22838,20371,18981,4857,1039,273
경남,양산시,115933,29655,30822,26212,22629,5296,1060,259
경남,창원시,393675,103285,98670,90935,77719,18406,3692,968
경남,의창구,94377,26217,22780,21664,18214,4362,901,239
경남,성산구,80126,17575,17466,20731,19742,3862,624,126
경남,마산합포구,71298,21050,20343,15018,11053,3000,642,192
경남,마산회원구,78499,20069,20564,18272,14908,3698,775,213
경남,진해구,69375,18374,17517,15250,13802,3484,750,198
경남,의령군,12126,4840,4212,1696,885,356,94,43
경남,함안군,26929,8565,8196,4944,3735,1151,245,93
경남,창녕군,26306,9207,9004,4235,2577,879,287,117
경남,고성군,22101,7560,7461,3588,2370,785,258,79
경남,남해군,19442,6991,7274,2811,1551,567,191,57
경남,하동군,19208,6482,6799,3145,1725,705,242,110
경남,산청군,15044,5533,5338,2219,1193,528,160,73
경남,함양군,16780,6041,5730,2568,1573,587,198,83
경남,거창군,24958,7851,8242,4289,3100,1083,293,100
경남,합천군,20313,7757,7260,2910,1502,612,189,83
제주,제주시,168957,45972,42886,33967,29975,11846,3127,1184
제주,서귀포시,60380,16869,17636,11696,8633,3706,1268,572
