"행정구역별(시군구)",2016,2016,2016,2016,2016,2016,2016,2016
"행정구역별(시군구)",일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상
"읍부",21643,9279,4363,3513,3026,1064,315,83
"면부",21902,8793,6322,3345,2138,853,320,131
"동부",46868,9611,9495,11221,12619,3203,567,152
"세종시",90413,27683,20180,18079,17783,5120,1202,366
"경기도",4484424,1067916,1091119,1033608,973096,246575,55612,16498
"읍부",465786,109658,121182,102821,95211,27924,6831,2159
"면부",302895,92068,94775,55838,39508,14096,4675,1935
"동부",3715743,866190,875162,874949,838377,204555,44106,12404
"수원시",436304,119552,94136,96766,97387,22743,4545,1175
"장안구",104948,25876,23172,24163,24623,5647,1156,311
"권선구",130273,33728,29348,29531,28697,7080,1486,403
"팔달구",78986,26579,19094,15548,13306,3434,802,223
"영통구",122097,33369,22522,27524,30761,6582,1101,238
"성남시",358928,98141,86186,81253,71687,16910,3686,1065
"수정구",94646,33214,23320,18542,14655,3835,838,242
"중원구",91969,27116,22919,19874,16406,4434,950,270
"분당구",172313,37811,39947,42837,40626,8641,1898,553
"의정부시",157212,37293,40663,36505,32153,8139,1898,561
"안양시",205736,42112,49553,51470,48803,10912,2236,650
"만안구",88413,20842,22544,20796,18387,4497,1031,316
"동안구",117323,21270,27009,30674,30416,6415,1205,334
"부천시",304268,71647,74211,72857,65724,15538,3383,908
"광명시",116670,22699,28803,29351,27555,6550,1353,359
"평택시",170771,47126,42459,36062,33047,9257,2130,690
"동두천시",36740,10044,10672,7572,6002,1784,503,163
"안산시",256238,71870,56958,56404,53902,13566,2772,766
"상록구",140609,40149,31445,30939,28742,7347,1535,452
"단원구",115629,31721,25513,25465,25160,6219,1237,314
"고양시",357684,77285,87859,87985,80267,18980,4163,1145
"덕양구",157296,35743,40457,37720,32985,8098,1789,504
"일산동구",102970,25310,25048,23972,21923,5237,1166,314
"일산서구",97418,16232,22354,26293,25359,5645,1208,327
"과천시",21211,4119,4977,5231,5243,1302,261,78
"구리시",66000,14290,15818,15878,15293,3621,859,241
"남양주시",220424,39032,56612,53736,52176,14364,3496,1008
"오산시",77468,21737,16926,16107,17078,4441,895,284
"시흥시",145794,38217,32945,32088,32198,8179,1682,485
"군포시",98411,19619,23608,24477,23800,5503,1123,281
"의왕시",53705,10543,13095,13569,12638,3040,669,151
"하남시",71253,15721,18369,17080,15110,3896,844,233
"용인시",330588,65405,76659,81102,81113,20190,4657,1462
"처인구",80041,20897,20288,17153,15432,4663,1178,430
"기흥구",138109,25975,31358,34283,35318,8700,1918,557
"수지구",112438,18533,25013,29666,30363,6827,1561,475
"파주시",146308,32454,37785,33298,31023,8838,2260,650
"이천시",73959,18096,19459,15951,14483,4419,1101,450
"안성시",70127,20522,18779,13916,11982,3578,1004,346
"김포시",123571,25271,31212,29640,27906,7183,1801,558
"화성시",220427,52899,48168,48239,53643,13756,2886,836
"광주시",112798,24301,30677,26558,22566,6491,1678,527
