loc1,loc2,name,location
대전,서구,GS25둔산을지점,대전 서구 둔산로51번길84(둔산2동 1349)
대전,서구,GS25둔산제일점,"대전 서구 대덕대로249번길30, 1층 105호(둔산2동 966)"
대전,서구,GS25둔산파크점,대전 서구 둔산로73번길37(둔산2동 1318)
대전,서구,GS25둔산플러스점,"대전 서구 둔산중로14번길36, 125호 (탄방동 743, 하이플러스)"
대전,서구,GS25둔산한마루점,"대전 서구 둔산북로160, 삼성상가동 101호 , 102호 (둔산동 1388)"
대전,서구,GS25둔산햇님점,"대전 서구 둔산북로175, 상가 111호(둔산1동 1383, 햇님아파트)"
대전,서구,GS25둔산향촌점,"대전 서구 둔지로52, 101호 (둔산동 974, 갤러리빌7차)"
경기,용인시,GS25둔전영재점,경기 용인시 처인구 포곡읍 포곡로125 (둔전리 190-11)
경기,용인시,GS25둔전제일점,"경기 용인시 처인구 포곡읍 포곡로108번길7, 1층(둔전리 150)"
서울,강동구,GS25둔촌동안점,서울 강동구 진황도로153(둔촌2동 448)
서울,강동구,GS25둔촌신성점,서울 강동구 진황도로206 (둔촌2동 134-6)
서울,강동구,GS25둔촌역점,"서울 강동구 양재대로1367, 103호 (성내3동 416-4)"
서울,강동구,GS25둔촌주공점,서울 강동구 풍성로247 (둔촌2동 163)
서울,강동구,GS25둔촌타운점,"서울 강동구 양재대로1319, 103호(성내3동 440, 경일빌딩)"
서울,강동구,GS25둔촌프라자점,서울 강동구 천호대로198길32(둔촌2동 611-1)
서울,강동구,GS25둔촌행복점,"서울 강동구 양재대로87길19, 1층 2호(성내3동 439)"
충남,아산시,GS25둔포센트럴점,충남 아산시 둔포면 둔포중앙로148 (둔포리 415-2)
충남,아산시,GS25둔포원룸센터점,충남 아산시 둔포면 운용길54 (운용리 337-128)
충남,아산시,GS25둔포이지더원점,"충남 아산시 둔포면 아산밸리중앙로47, 상가 312동 B110,111호 (석곡리 1788, 아산테크노벨리이지더원3단지아파트)"
충남,아산시,GS25둔포테크노점,"충남 아산시 둔포면 아산밸리중앙로98, 108호(석곡리 1373, 아산테크노밸리)"
충남,아산시,GS25둔포푸른점,충남 아산시 둔포면 둔포중앙로114 (둔포리 479-1)
충남,아산시,GS25둔포프라자점,"충남 아산시 둔포면석곡리 1694, 104호, 105호"
대구,남구,GS25드림병원점,"대구 남구 대명로153(대명10동 808-3, 드림병원)"
서울,구로구,GS25드림타워2점,"서울 구로구 디지털로31길41, 1층 (구로동 197-28, ENC벤처드림타워6차)"
경기,파주시,GS25등원희망점,경기 파주시 조리읍 등원로7 (등원리 256-2)
서울,강서구,GS25등촌NC점,서울 강서구 강서로56가길41(등촌3동 678-2)
서울,강서구,GS25등촌서낭점,"서울 강서구 화곡로63길125, 1층(등촌3동 663-7, 윤준빌딩)"
서울,강서구,GS25등촌스타점,"서울 강서구 등촌로39길6, 6호(등촌2동 512-7)"
서울,강서구,GS25등촌점,"서울 강서구 화곡로61길100, 101호(등촌3동 662-6)"
서울,강서구,GS25등촌주공점,"서울 강서구 강서로56길110, 1층 2호 (등촌동 667-7, 상지빌딩)"
서울,강서구,GS25등촌캐빈점,서울 강서구 공항대로51길17 (등촌동 654-58)
서울,강서구,GS25등촌투웨니점,"서울 강서구 공항대로59다길14, A동 101, 102호 (등촌동 647-89)"
서울,강서구,GS25등촌한마음점,서울 강서구 공항대로58길32(등촌2동 532-1)
서울,강서구,GS25등촌한올림점,"서울 강서구 화곡로64길2, 101동 103호 (등촌동 656, 경동미르웰한울림)"
서울,강서구,GS25등촌행복점,"서울 강서구 화곡로66길145, 1층 (등촌동 636-21)"
서울,강서구,GS25등촌현대점,"서울 강서구 등촌로163 (등촌2동 715, 등촌아이파크@주상가동1층105호)"
서울,중구,GS25디오센터점,"서울 중구 서소문로38, 111호(중림동 500, 디오센터)"
전남,여수시,GS25디오션리조트점,"전남 여수시 소호로295 (소호동 923, 디오션리조트)"
대구,달성군,GS25디지스트비슬점,대구 달성군 현풍면 테크노중앙대로333 (상리 50-1)
대구,달성군,GS25디지스트위성점,"대구 달성군 현풍면 테크노중앙대로333, 2층 (상리 50-1, 대구경북과학기술원컨실리언스홀)"
대구,달성군,GS25디지스트점,대구 달성군 현풍면 테크노중앙대로333(상리 50-1)
서울,구로구,GS25디큐브시티점,"서울 구로구 경인로662, 지하1층 편의점 (신도림동 692, 디큐브시티)"
전남,해남군,GS25땅끝마을점,"전남 해남군 송지면 땅끝마을길58 (송호리 1174, 에덴파크모텔)"
서울,성동구,GS25뚝섬제일점,"서울 성동구 아차산로6, 1층 (성수1가1동 656-1731)"
서울,중구,GS25라마다호텔점,서울 중구 순화동195-1번지 포스코더샵빌딩 1층 112호
인천,부평구,GS25라이온스점,"인천 부평구 부평대로283, B동 115호 (청천2동 425, 부평우림라이온스밸리)"
부산,부산진구,GS25럭키연지점,부산 부산진구 새싹로168(연지동 340-8)
경기,고양시,GS25레이킨스점,"경기 고양시 일산서구 호수로817, 124호(대화동 2602, 레이킨스몰)"
서울,강남구,GS25로데오점,서울 강남구 선릉로161길31 (신사동 659-9)
경기,용인시,GS25르노삼성연구소점,경기 용인시 기흥구 탑실로61 (공세동 447-4)
서울,강서구,GS25마곡10단지점,"서울 강서구 마곡중앙1로72, 상가동 104호 (마곡동 747, 마곡엠밸리10단지)"
서울,강서구,GS25마곡12단지점,"서울 강서구 공항대로140, 1201동 107호 (마곡동 746-1, 마곡엠밸리12단지)"
서울,강서구,GS25마곡14단지점,서울 강서구 마곡동마곡M벨리14단지제상가동101호
서울,강서구,GS25마곡8단지점,서울 강서구 마곡동741번지 마곡엠밸리단지 상가 105호
서울,강서구,GS25마곡LG사이언스점,"서울 강서구 마곡중앙10로30, 지하1층 (마곡동 770-1, 엘지사이언스파크)"
서울,강서구,GS25마곡LG정문점,"서울 강서구 마곡중앙6로65, 107호 (마곡동 796-6, 지투프라자)"
서울,강서구,GS25마곡SB점,서울 강서구 마곡동739-3번지 마곡SB타운 1층 110호
서울,강서구,GS25마곡SH점,"서울 강서구 공항대로205, 104호 (마곡동 774, 에스에이치빌딩)"
서울,강서구,GS25마곡더블유점,"서울 강서구 방화대로294, 1층 113호 (마곡동 739-1, 마곡더블유타워)"
서울,강서구,GS25마곡동익점,"서울 강서구 공항대로195, 101동 128호 (마곡동 773-3, 힐스테이트에코동익)"
서울,강서구,GS25마곡라마다점,"서울 강서구 마곡중앙로161-11, 129호 (마곡동 760-1)"
서울,강서구,GS25마곡루체점,"서울 강서구 마곡동로4길23, 102호 (마곡동 797-12, 레지던스루체브릿지호텔)"
서울,강서구,GS25마곡보타닉점,"서울 강서구 마곡중앙5로6, 109,128,129호 (마곡동)"
서울,강서구,GS25마곡비즈점,"서울 강서구 마곡중앙5로1길20, 117,118호 (마곡동 757-3)"
서울,강서구,GS25마곡서브원점,서울 강서구 마곡동279-4번지 서브원사옥 오피스동 B1F
서울,강서구,GS25마곡시티점,"서울 강서구 마곡서로170, 109호 (마곡동 758, 마곡시티오피스텔)"
서울,강서구,GS25마곡신안점,"서울 강서구 양천로30길123-9, 105호 (마곡동 422, 마곡신안아파트)"
서울,강서구,GS25마곡에이스점,"서울 강서구 마곡동로61, 104호 (마곡동 772-8, 에이스프라자)"
서울,강서구,GS25마곡엠코점,"서울 강서구 강서로471, A동 1층 105호 (마곡동 776-4, 엠코지니어스타)"
서울,강서구,GS25마곡오드점,"서울 강서구 강서로429, 122호 (마곡동 784-11, 마곡오드카운티1차)"
서울,강서구,GS25마곡유림점,"서울 강서구 강서로419, 1층 104호 (마곡동 793, 유림트윈파크)"
서울,강서구,GS25마곡일성점,"서울 강서구 마곡중앙로161-22, B동 1층 122호 (마곡동 758-2, 마곡일성트루엘플래닛)"
서울,강서구,GS25마곡파크뷰점,"서울 강서구 마곡중앙6로85, 104호 (마곡동 795-5, 마곡사이언스파크뷰)"
서울,강서구,GS25마곡플레이스점,"서울 강서구 마곡동793-9번지 플레이스에이치(1층, 103호)"
서울,강서구,GS25마곡힐스테이트점,"서울 강서구 공항대로269-15, 1층 118호 (마곡동 797-14, 힐스테이트 에코 마곡)"
경기,화성시,GS25마도명륜점,경기 화성시 마도면 마도로520 (청원리 215-1)
경기,화성시,GS25마도바이오점,"경기 화성시 마도면 청원산단로203, 104호 (청원리 1249)"
경기,화성시,GS25마도사거리점,경기 화성시 마도면 송정로4 (두곡리 344-3)
경기,화성시,GS25마도슬항점,"경기 화성시 마도면 화성로716, 1층 일부 (슬항리 220-134)"
경기,고양시,GS25마두강촌점,"경기 고양시 일산동구 강석로110, , 제분산상가동 105,106호 (마두동 789)"
경기,고양시,GS25마두건영점,경기 고양시 일산동구 경의로375-119 (마두동 865-7)
경기,고양시,GS25마두광장점,"경기 고양시 일산동구 장백로184, 106호(장항2동 895-1)"
경기,고양시,GS25마두백마점,"경기 고양시 일산동구 일산로208, 111호 (마두동 729, 한일파킹타운)"
경기,고양시,GS25마두역점,"경기 고양시 일산동구 중앙로1160, 112호(마두2동 805-1)"
경기,고양시,GS25마두으뜸점,경기 고양시 일산동구 정발산로196번길7-2(마두1동 882-7)
제주,서귀포시,GS25마라도점,제주 서귀포시 대정읍 마라로101번길43(가파리 697)
제주,서귀포시,GS25마라도포구점,제주 서귀포시 대정읍 마라로41 (가파리 588)
충남,서천군,GS25마량포구점,충남 서천군 서면 서인로85 (마량리 131)
서울,종로구,GS25마로니에점,"서울 종로구 대학로8가길111, 1층 (동숭동 1-100)"
경기,포천시,GS25마명제일점,경기 포천시 내촌면 부마로285(마명리 273-14)
경기,용인시,GS25마북누리점,"경기 용인시 기흥구 용구대로2370, 102호(마북동 475-1)"
경남,창원시,GS25마산교방점,경남 창원시 마산합포구 노산서18길105 (교방동 374-9)
경남,창원시,GS25마산구암점,"경남 창원시 마산회원구 구암남10길40, 1층(구암2동 86-63, 화성빌딩)"
경남,창원시,GS25마산남부점,"경남 창원시 마산합포구 월영동2길15(해운동 5-75, 해마빌딩)"
경남,창원시,GS25마산내서대로점,경남 창원시 마산회원구 내서읍 경남대로1027 (상곡리 196-1)
경남,창원시,GS25마산대내점,경남 창원시 마산합포구 월영북로8(대내동 6-2)
경남,창원시,GS25마산댓거리점,"경남 창원시 마산합포구 월영동서로15(해운동 5-87, GS25)"
경남,창원시,GS25마산댓츠점,"경남 창원시 마산합포구 해안대로2, 1층(해운동 5-51, 댓츠빌딩)"
경남,창원시,GS25마산동광점,경남 창원시 마산합포구 해안대로32 (해운동 37)
경남,창원시,GS25마산두산점,경남 창원시 마산합포구 해운동해운동두산1차아파트 상가 101호
경남,창원시,GS25마산두월점,"경남 창원시 마산합포구 문화북1길17(두월동1가 1-3, 럭키온천)"
경남,창원시,GS25마산리베라점,경남 창원시 마산합포구 해안대로311 (신포동2가 117-45)
경남,창원시,GS25마산메트로2호점,"경남 창원시 마산회원구 삼호로80, 210동 123호 (양덕동 84-14, 메트로시티2차)"
경남,창원시,GS25마산메트로점,"경남 창원시 마산회원구 양덕서로30, A동 104호 (양덕2동 84-1, 메트로시티)"
경남,창원시,GS25마산반딧불점,경남 창원시 마산합포구 문화남4길14 (두월동3가 4-10)
경남,창원시,GS25마산봉암점,경남 창원시 마산회원구 봉암북4길42 (봉암동 451-25)
경남,창원시,GS25마산북성로점,경남 창원시 마산합포구 북성로70 (상남동 21-7)
경남,창원시,GS25마산비젼점,"경남 창원시 마산회원구 해안대로607 (양덕동 153-5, 비전스카이아파트)"
경남,창원시,GS25마산사보이점,"경남 창원시 마산합포구 삼호로41, 101,102호(산호동 8-1)"
경남,창원시,GS25마산산호남점,경남 창원시 마산합포구 산호남8길120 (산호동 40-8)
경남,창원시,GS25마산산호점,경남 창원시 마산합포구 합포로243(산호동 13-55)
경남,창원시,GS25마산삼계점,"경남 창원시 마산회원구 내서읍 삼계3길5(삼계리 30-6, 나드리신발마트)"
경남,창원시,GS25마산상남점,"경남 창원시 마산합포구 교방천북길267 (상남동 230-25, 정림빌딩)"
경남,창원시,GS25마산새롬점,"경남 창원시 마산합포구 수산1길181, 상가 113호(동성동 316, 새롬미리내아파트)"
경남,창원시,GS25마산서성점,"경남 창원시 마산합포구 3.15대로291, gs25마산서성점 (서성동 83-24)"
경남,창원시,GS25마산석전점,경남 창원시 마산회원구 석전동13길28 (석전2동 234-1)
경남,창원시,GS25마산성지점,"경남 창원시 마산합포구 해안대로51, 101호(해운동 68, 성지아울렛)"
경남,창원시,GS25마산성호점,경남 창원시 마산합포구 천하장사로72 (성호동 50-4)
경남,창원시,GS25마산세진점,"경남 창원시 마산합포구 해안대로396, 1층(오동동 319-1, 세진빌딩)"
경남,창원시,GS25마산센트리움점,"경남 창원시 마산회원구 양덕옛2길129(석전2동 232-1, 창원마산역동도센트리움)"
경남,창원시,GS25마산수정점,경남 창원시 마산합포구 3.15대로236(중앙동3가 4-44)
경남,창원시,GS25마산시네마점,경남 창원시 마산합포구 해안대로7(월남동5가 4-1)
경남,창원시,GS25마산신포점,"경남 창원시 마산합포구 서성로43, 나동 101호 (신포동2가 54, 삼익맨션)"
경남,창원시,GS25마산아이파크점,"경남 창원시 마산합포구 제2부두로17, 301동 115호 (신포동1가 76, 마산만아이파크)"
경남,창원시,GS25마산야구장점,"경남 창원시 마산합포구 용마로86(산호동 25-5, 동해복집)"
경남,창원시,GS25마산양덕로점,경남 창원시 마산회원구 양덕북2길3 (양덕동 19-2)
경남,창원시,GS25마산양덕점,경남 창원시 마산회원구 합포로288-1 (양덕2동 154-3)
경남,창원시,GS25마산완월쉼터점,"경남 창원시 마산합포구 고운로209, 1층 101호 (완월동 12-14)"
경남,창원시,GS25마산완월점,경남 창원시 마산합포구 완월동 고운로 168
경남,창원시,GS25마산월영SK점,"경남 창원시 마산합포구 월영남12길12, 102호 (월영동 614-546, 제상가동)"
경남,창원시,GS25마산자이점,"경남 창원시 마산합포구 노산서18길19, 1층 104호 (교원동 46, 무학자이)"
경남,창원시,GS25마산장군점,"경남 창원시 마산합포구 중앙남8길32(장군동3가 20-10, 월드크리닝)"
경남,창원시,GS25마산중성점,경남 창원시 마산합포구 오동서1길2(중성동 83)
경남,창원시,GS25마산중앙점,경남 창원시 마산합포구 창동거리길20(창동 64-2)
경남,창원시,GS25마산창동점,경남 창원시 마산합포구 3.15대로376 (중성동 20-73)
경남,창원시,GS25마산창포점,경남 창원시 마산합포구 창포동3가 문화동14길 46
경남,창원시,GS25마산청아점,"경남 창원시 마산회원구 내서읍 중리2길5(중리 1045-6, GS25)"
경남,창원시,GS25마산팔거리점,"경남 창원시 마산회원구 교방시장3길2 (회원2동 659-21, 남북통일호프)"
경남,창원시,GS25마산한일점,"경남 창원시 마산회원구 삼호로151 (양덕동 910, 한일타운3차아파트)"
경남,창원시,GS25마산합성금강점,경남 창원시 마산회원구 금강로22-2 (합성동 99-1)
경남,창원시,GS25마산합성점,경남 창원시 마산회원구 합성남7길6(합성2동 265-13)
경남,창원시,GS25마산합성터미널점,경남 창원시 마산회원구 합성옛길191 (합성동 161-18)
경남,창원시,GS25마산합포점,경남 창원시 마산합포구 3.15대로156 (중앙동2가 7-4)
경남,창원시,GS25마산해안점,경남 창원시 마산합포구 월영동9길24(해운동 43-9)
경남,창원시,GS25마산현동점,경남 창원시 마산합포구 현동중흥S클래스프라디음상가동
경남,창원시,GS25마산회성점,"경남 창원시 마산회원구 회성남10길2 (회성동 448-1, 한효국화맨션)"
경남,창원시,GS25마산회원점,"경남 창원시 마산회원구 3.15대로493 (회원1동 62-3, 한들)"
경기,남양주시,GS25마석궁전점,경기 남양주시 화도읍 마석로6 (창현리 469-20)
경기,남양주시,GS25마석그랜드힐점,"경기 남양주시 화도읍 경춘로2102-10, 제 107, 108호 (마석우리 76-18)"
경기,남양주시,GS25마석사랑점,경기 남양주시 화도읍 비룡로55번길3-12(마석우리 558-10)
경기,남양주시,GS25마석서희점,경기 남양주시 화도읍 소래비로102 (마석우리 10-1)
경기,남양주시,GS25마석역점,경기 남양주시 화도읍 마석중앙로99-2(마석우리 282-2)
경기,남양주시,GS25마석우리점,경기 남양주시 화도읍 마석로61번길18-1(마석우리 379-14)
경기,남양주시,GS25마석주공점,"경기 남양주시 화도읍 맷돌로91번길7, 상가동 101호 (마석우리 531, 마석주공아파트)"
경기,남양주시,GS25마석타운점,"경기 남양주시 화도읍 비룡로99번길28, 1층 (묵현리 86)"
경기,김포시,GS25마송주공점,"경기 김포시 통진읍 김포대로2250번길23-14, 상가동 103호 (마송리 493, 소망마을주공아파트)"
경기,김포시,GS25마송현대점,"경기 김포시 통진읍 김포대로2270번길29, 107호 (마송리 134, 상가동)"
인천,연수구,GS25마스터뷰21호점,"인천 연수구 컨벤시아대로274번길55, 1층 3호 (송도동 110, 송도더샵마스터뷰)"
인천,연수구,GS25마스터뷰22호점,"인천 연수구 컨벤시아대로274번길35, 107호 (송도동 111, 송도더샵마스터뷰)"
서울,성동구,GS25마장어울림점,"서울 성동구 마조로55, 116호 (마장동 821, 금호어울림아파트)"
서울,성동구,GS25마장역점,서울 성동구 마장로301 (마장동 772-4)
경기,이천시,GS25마장제일점,경기 이천시 마장면 오천로22 (오천리 277)
인천,서구,GS25마전동남점,인천 서구 검단로487번안길11-13 (마전동 923-1)
경남,거제시,GS25마전예지점,"경남 거제시 장승로82 (장승포동 548, 경성빌)"
인천,서구,GS25마전풍림점,"인천 서구 검암로53, 풍림2차 단지내상가 101 (검암동 501-1, 풍림아이원2차)"
충남,아산시,GS25마정공단점,"충남 아산시 음봉면 산동로317, 1층 외 1필지 B동 (산동리 209-5)"
경기,안성시,GS25마정로드점,경기 안성시 공도읍 서동대로4441 (마정리 144-2)
경남,창원시,GS25마천공단점,"경남 창원시 진해구 남영로567 (남양동 30, 셀프세차)"
서울,송파구,GS25마천공원점,서울 송파구 거마로24길5 (마천2동 47-7)
서울,송파구,GS25마천센타점,서울 송파구 마천로51길22(마천1동 178-85)
서울,송파구,GS25마천우방점,"서울 송파구 성내천로211, 104동 102호 (마천2동 576, 마천우방아파트)"
서울,송파구,GS25마천중앙점,서울 송파구 마천로41길14(마천2동 128-16)
서울,마포구,GS25마포LG점,"서울 마포구 마포대로155, 지하1층(공덕동 275, 마포LG빌딩)"
서울,마포구,GS25마포공덕점,서울 마포구 마포대로8길9(공덕동 249-12)
서울,마포구,GS25마포교보점,"서울 마포구 월드컵로3길14, 지하1층 교보문고내 (합정동 473, 마포한강2차푸르지오)"
서울,마포구,GS25마포구청역점,"서울 마포구 월드컵로196, 1층(성산2동 591-4, 대명비첸시티)"
서울,마포구,GS25마포금솔점,"서울 마포구 만리재옛길46, 1층 (신공덕동 5)"
서울,마포구,GS25마포당인점,서울 마포구 토정로13-1(합정동 376-27)
서울,마포구,GS25마포도화점,서울 마포구 도화2길2(도화동 344)
서울,마포구,GS25마포만리재점,서울 마포구 만리재옛길103(아현동 407-1)
서울,마포구,GS25마포사랑점,"서울 마포구 마포대로4라길32, 지1층, 1층 (마포동 292-64)"
