,loc,gs,cu,seven,stores,ppl,1p,1p_ratio,loc1,loc2,store_ratio
62,광주 북구,80.0,68.0,154.0,302.0,173862.0,50894.0,0.292726415202862,광주,북구,0.007358495163373212
51,인천 남구,98.0,87.0,116.0,301.0,162564.0,46794.0,0.287849708422529,인천,남구,0.0073341292853487975
19,서울 동작구,113.0,69.0,116.0,298.0,159770.0,52954.0,0.3314389434812543,서울,동작구,0.007261031651275554
219,경남 진주시,101.0,99.0,98.0,298.0,135912.0,40393.0,0.2971996586026252,경남,진주시,0.007261031651275554
10,서울 노원구,108.0,73.0,112.0,293.0,204606.0,47641.0,0.23284263413585135,서울,노원구,0.007139202261153481
108,강원 춘천시,81.0,94.0,114.0,289.0,109690.0,33454.0,0.30498678092807,강원,춘천시,0.007041738749055822
16,서울 구로구,98.0,78.0,108.0,284.0,156671.0,42055.0,0.268428745587888,서울,구로구,0.006919909358933749
33,부산 해운대구,85.0,89.0,110.0,284.0,154367.0,36743.0,0.2380236708622957,부산,해운대구,0.006919909358933749
29,부산 부산진구,76.0,97.0,108.0,281.0,151910.0,48209.0,0.3173523796985057,부산,부산진구,0.006846811724860505
97,경기 이천시,67.0,71.0,140.0,278.0,73959.0,18096.0,0.24467610432807366,경기,이천시,0.0067737140907872615
110,강원 강릉시,67.0,82.0,126.0,275.0,88622.0,29554.0,0.33348378506465665,강원,강릉시,0.006700616456714018
12,서울 서대문구,91.0,87.0,96.0,274.0,126581.0,43298.0,0.3420576547823133,서울,서대문구,0.006676250578689603
70,울산 남구,88.0,68.0,118.0,274.0,128351.0,34883.0,0.27177817079726685,울산,남구,0.006676250578689603
67,대전 유성구,86.0,71.0,116.0,273.0,132178.0,41449.0,0.3135847115253673,대전,유성구,0.0066518847006651885
14,서울 양천구,82.0,72.0,116.0,270.0,163253.0,32878.0,0.20139292999209815,서울,양천구,0.006578787066591945
98,경기 안성시,40.0,62.0,164.0,266.0,70127.0,20522.0,0.292640495101744,경기,안성시,0.006481323554494286
63,광주 광산구,58.0,61.0,146.0,265.0,147467.0,38707.0,0.26247906311242514,광주,광산구,0.006456957676469872
45,대구 북구,66.0,67.0,130.0,263.0,167089.0,44680.0,0.26740240231254003,대구,북구,0.006408225920421042
6,서울 중랑구,90.0,72.0,94.0,256.0,157571.0,45717.0,0.2901358752562337,서울,중랑구,0.00623766477425014
52,인천 연수구,72.0,76.0,106.0,254.0,112840.0,24227.0,0.21470223325062035,인천,연수구,0.006188933018201311
197,경북 경주시,70.0,79.0,104.0,253.0,105400.0,34493.0,0.32725806451612904,경북,경주시,0.006164567140176896
3,서울 성동구,70.0,77.0,100.0,247.0,116401.0,37074.0,0.3185024183641034,서울,성동구,0.006018371872030409
8,서울 강북구,67.0,69.0,108.0,244.0,125580.0,36668.0,0.29198917025003984,서울,강북구,0.005945274237957165
2,서울 용산구,78.0,69.0,96.0,243.0,90164.0,31641.0,0.35092719932567323,서울,용산구,0.00592090835993275
225,경남 양산시,99.0,72.0,70.0,241.0,115933.0,29655.0,0.25579429498072165,경남,양산시,0.005872176603883921
205,경북 경산시,76.0,67.0,92.0,235.0,106396.0,34448.0,0.323771570359788,경북,경산시,0.005725981335737433
161,전북 군산시,92.0,46.0,94.0,232.0,108113.0,33020.0,0.30542117969161897,전북,군산시,0.0056528837016641895
60,광주 서구,51.0,57.0,120.0,228.0,120798.0,36179.0,0.29949999172171726,광주,서구,0.005555420189566531
55,인천 계양구,61.0,59.0,104.0,224.0,116055.0,24708.0,0.21289905648184052,인천,계양구,0.005457956677468873
46,대구 수성구,56.0,56.0,106.0,218.0,157126.0,33472.0,0.2130264882960172,대구,수성구,0.005311761409322385
17,서울 금천구,78.0,63.0,76.0,217.0,93402.0,31728.0,0.33969294019400015,서울,금천구,0.00528739553129797
9,서울 도봉구,57.0,54.0,96.0,207.0,125384.0,28296.0,0.2256747272379251,서울,도봉구,0.005043736751053824
42,대구 동구,50.0,53.0,100.0,203.0,133741.0,35608.0,0.26624595299870646,대구,동구,0.004946273238956166
126,충북 충주시,48.0,75.0,76.0,199.0,85152.0,27502.0,0.32297538519353625,충북,충주시,0.004848809726858507
103,경기 포천시,55.0,83.0,50.0,188.0,57054.0,16366.0,0.28685105338801836,경기,포천시,0.004580785068589947
102,경기 양주시,60.0,54.0,72.0,186.0,71155.0,15079.0,0.21191764457873657,경기,양주시,0.004532053312541117
175,전남 여수시,77.0,37.0,70.0,184.0,107641.0,29570.0,0.2747094508598025,전남,여수시,0.004483321556492288
162,전북 익산시,53.0,53.0,74.0,180.0,117839.0,36474.0,0.3095240115751152,전북,익산시,0.00438585804439463
101,경기 광주시,106.0,72.0,0.0,178.0,112798.0,24301.0,0.21543821698966295,경기,광주시,0.0043371262883458005
90,경기 오산시,59.0,53.0,66.0,178.0,77468.0,21737.0,0.2805932772241442,경기,오산시,0.0043371262883458005
65,대전 중구,54.0,48.0,74.0,176.0,94941.0,25410.0,0.26763990267639903,대전,중구,0.004288394532296971
35,부산 금정구,60.0,40.0,74.0,174.0,98500.0,30978.0,0.314497461928934,부산,금정구,0.004239662776248142
34,부산 사하구,73.0,51.0,50.0,174.0,127097.0,33384.0,0.2626655231830806,부산,사하구,0.004239662776248142
73,울산 울주군,59.0,48.0,66.0,173.0,78667.0,19265.0,0.24489303011427918,울산,울주군,0.0042152968982237275
80,경기 광명시,54.0,45.0,66.0,165.0,116670.0,22699.0,0.19455729836290392,경기,광명시,0.004020369874028411
174,전남 목포시,32.0,43.0,88.0,163.0,93334.0,27748.0,0.2972978764437397,전남,목포시,0.003971638117979581
64,대전 동구,51.0,46.0,66.0,163.0,99152.0,35041.0,0.35340689043085366,대전,동구,0.003971638117979581
30,부산 동래구,43.0,41.0,74.0,158.0,99683.0,23848.0,0.23923838568261388,부산,동래구,0.0038498087278575083
138,충북 음성군,36.0,24.0,96.0,156.0,38634.0,13231.0,0.34247036289278876,충북,음성군,0.003801076971808679
49,인천 중구,43.0,49.0,64.0,156.0,43924.0,13735.0,0.31269920772242965,인천,중구,0.003801076971808679
176,전남 순천시,51.0,41.0,62.0,154.0,101344.0,26404.0,0.26053836438269656,전남,순천시,0.00375234521575985
147,충남 서산시,33.0,54.0,66.0,153.0,64727.0,17746.0,0.2741668855346301,충남,서산시,0.0037279793377354353
31,부산 남구,46.0,45.0,62.0,153.0,108478.0,30212.0,0.2785080845885802,부산,남구,0.0037279793377354353
48,대구 달성군,51.0,19.0,82.0,152.0,75704.0,16795.0,0.2218508929514953,대구,달성군,0.0037036134597110207
92,경기 군포시,38.0,37.0,72.0,147.0,98411.0,19619.0,0.19935779536840395,경기,군포시,0.0035817840695889476
150,충남 당진시,55.0,24.0,62.0,141.0,64303.0,19432.0,0.30219429886630483,충남,당진시,0.00343558880144246
39,부산 사상구,41.0,51.0,48.0,140.0,90745.0,25712.0,0.2833434348999945,부산,사상구,0.0034112229234180454
37,부산 연제구,34.0,42.0,64.0,140.0,78070.0,19964.0,0.25571922633534006,부산,연제구,0.0034112229234180454
214,경북 칠곡군,35.0,35.0,68.0,138.0,46899.0,14453.0,0.30817288215100536,경북,칠곡군,0.003362491167369216
94,경기 하남시,53.0,31.0,52.0,136.0,71253.0,15721.0,0.22063632408459993,경기,하남시,0.003313759411320387
40,부산 기장군,42.0,32.0,62.0,136.0,56777.0,12920.0,0.22755693326523063,부산,기장군,0.003313759411320387
220,경남 통영시,38.0,58.0,40.0,136.0,53411.0,15355.0,0.28748759618805114,경남,통영시,0.003313759411320387
68,대전 대덕구,35.0,34.0,64.0,133.0,74216.0,21103.0,0.28434569365096474,대전,대덕구,0.003240661777247143
32,부산 북구,42.0,51.0,40.0,133.0,114093.0,26802.0,0.23491362309694722,부산,북구,0.003240661777247143
38,부산 수영구,38.0,32.0,62.0,132.0,70784.0,20807.0,0.2939506103074141,부산,수영구,0.0032162958992227285
127,충북 제천시,35.0,49.0,48.0,132.0,55381.0,17451.0,0.31510806955454035,충북,제천시,0.0032162958992227285
88,경기 구리시,44.0,33.0,54.0,131.0,66000.0,14290.0,0.21651515151515152,경기,구리시,0.003191930021198314
199,경북 안동시,28.0,36.0,62.0,126.0,68192.0,21974.0,0.32223721257625526,경북,안동시,0.003070100631076241
71,울산 동구,39.0,42.0,40.0,121.0,63744.0,16260.0,0.2550828313253012,울산,동구,0.0029482712409541678
69,울산 중구,37.0,39.0,42.0,118.0,89344.0,22018.0,0.246440723495702,울산,중구,0.002875173606880924
61,광주 남구,23.0,42.0,50.0,115.0,83897.0,22211.0,0.26474128991501483,광주,남구,0.00280207597280768
72,울산 북구,44.0,38.0,32.0,114.0,65921.0,12430.0,0.1885590327816629,울산,북구,0.0027777100947832655
113,강원 속초시,26.0,42.0,46.0,114.0,32809.0,10011.0,0.30512969002407875,강원,속초시,0.0027777100947832655
41,대구 중구,26.0,23.0,62.0,111.0,33349.0,12242.0,0.3670874688896219,대구,중구,0.0027046124607100217
57,인천 강화군,18.0,17.0,72.0,107.0,25477.0,7090.0,0.27829022255367586,인천,강화군,0.0026071489486123632
136,충북 진천군,24.0,22.0,60.0,106.0,26817.0,8048.0,0.3001081403587277,충북,진천군,0.0025827830705879486
107,경기 양평군,20.0,46.0,40.0,106.0,41328.0,12173.0,0.29454607046070463,경기,양평군,0.0025827830705879486
36,부산 강서구,29.0,38.0,38.0,105.0,37589.0,8752.0,0.23283407379818563,부산,강서구,0.002558417192563534
44,대구 남구,19.0,19.0,66.0,104.0,68498.0,25841.0,0.37725189056614794,대구,남구,0.0025340513145391194
145,충남 보령시,26.0,31.0,46.0,103.0,40782.0,12022.0,0.2947869157961846,충남,보령시,0.002509685436514705
59,광주 동구,21.0,24.0,56.0,101.0,43348.0,17178.0,0.3962812586509182,광주,동구,0.0024609536804658756
106,경기 가평군,20.0,36.0,42.0,98.0,23628.0,7515.0,0.3180548501777552,경기,가평군,0.0023878560463926318
178,전남 광양시,27.0,16.0,52.0,95.0,54550.0,14065.0,0.25783684692942255,전남,광양시,0.002314758412319388
221,경남 사천시,32.0,34.0,28.0,94.0,44690.0,13227.0,0.29597225330051463,경남,사천시,0.0022903925342949733
