,loc1,loc2,name,location
0,서울특별시,중랑구,면목장평교점,"서울특별시 중랑구 동일로 476, (면목동, 늘푸른동아)"
1,서울특별시,중랑구,면목제일점,"서울특별시 중랑구 겸재로40길 75, (면목동)"
2,서울특별시,중랑구,면목중앙점,"서울특별시 중랑구 면목로56가길 8, (면목동)"
3,서울특별시,중랑구,면목패션타운점,서울특별시 중랑구 겸재로15길 64
4,서울특별시,중랑구,면목행복점,"서울특별시 중랑구 겸재로50길 9, (면목동)"
5,서울특별시,중랑구,면목희망점,"서울특별시 중랑구 면목로27길 49, (면목동)"
6,강원도,평창군,면온IC점,"강원도 평창군 봉평면 태기로 561, (면온리)"
7,강원도,평창군,면온나래점,"강원도 평창군 봉평면 태기로 353, (면온리)"
8,경상남도,창원시,명곡로타리점,"경상남도 창원시 의창구 원이대로285번길 21, (봉곡동)"
9,서울특별시,중구,명동YWCA점,"서울특별시 중구 명동11길 9, (명동1가)"
10,서울특별시,중구,명동대로점,"서울특별시 중구 퇴계로 134, (남산동3가)"
11,경상남도,김해시,명동삼거리점,"경상남도 김해시 한림면 한림로 52, (명동리)"
12,서울특별시,중구,명동아르누보점,"서울특별시 중구 명동7길 21, (을지로2가)"
13,경상남도,양산시,명동파크드림점,경상남도 양산시 대운5길 7 웅상신도시화성파크드림
14,강원도,원주시,명륜사랑점,"강원도 원주시 황소마을길 20-2, (명륜동)"
15,서울특별시,종로구,명륜성대점,"서울특별시 종로구 창경궁로 236,  (명륜4가)"
16,부산광역시,동래구,명륜아이파크점,"부산광역시 동래구 시실로 49, 상가(명륜동, 명륜아이파크2차1단지아파트) 127동 B120호"
17,부산광역시,동래구,명륜하이츠점,"부산광역시 동래구 명륜로 202, (명륜동)"
18,서울특별시,강동구,명일명성점,"서울특별시 강동구 양재대로134길 77, 건물양  (명일동) 지상층"
19,서울특별시,강동구,명일삼익점,서울특별시 강동구 상암로 224 삼익맨션
20,서울특별시,강동구,명일스타힐스점,"서울특별시 강동구 동남로 881, 서희스타힐스오피스텔  (명일동)"
21,서울특별시,강동구,명일씨티코아점,"서울특별시 강동구 동남로73길 26, (명일동, 명일진로)"
22,서울특별시,강동구,명일엘지점,"서울특별시 강동구 양재대로138길 47, (명일동)"
