,loc1,loc2,name,location
0,경기도,수원시,수원드라마점,"경기도 수원시 팔달구 경수대로526번길 12-26, (인계동)"
1,경기도,수원시,수원디엠아이텍점,"경기도 수원시 영통구 삼성로168번길 38, 디엠아이텍  (매탄동) 1층"
2,경기도,수원시,수원럭키점,"경기도 수원시 팔달구 갓매산로 88, (고등동)"
3,경기도,수원시,수원만석점,"경기도 수원시 장안구 정조로 1094-2,  (송죽동) 1층"
4,경기도,수원시,수원망포LG점,"경기도 수원시 영통구 태장로54번길 92, 진성프라자 (망포동) 106호"
5,경기도,수원시,수원망포빌리지점,"경기도 수원시 영통구 영통로130번길 42,  (망포동) 1층"
6,경기도,수원시,수원매곡로점,"경기도 수원시 권선구 서수원로523번길 30-17, 좌측 칸(금곡동) 1층 2호"
7,경기도,수원시,수원매교역점,"경기도 수원시 권선구 수원천로 125, (세류동)"
8,경기도,수원시,수원매교점,"경기도 수원시 팔달구 효원로 163, (매교동)"
9,경기도,수원시,수원매산로점,"경기도 수원시 팔달구 갓매산로 65, (매산로2가)"
10,경기도,수원시,수원매산점,"경기도 수원시 팔달구 갓매산로 53, (매산로2가)"
11,경기도,수원시,수원매탄2동점,"경기도 수원시 영통구 매영로35번길 25,  (매탄동) 1층"
12,경기도,수원시,수원매탄스카이점,"경기도 수원시 영통구 인계로264번길 16-5, (매탄동)"
13,경기도,수원시,수원매탄위브점,"경기도 수원시 영통구 효원로 363, 매탄위브하늘채 303상가(매탄동, 매탄위브하늘채) 105호"
14,경기도,수원시,수원메디프라자점,"경기도 수원시 장안구 송정로90번길 3, (정자동)"
15,경기도,수원시,수원명당점,"경기도 수원시 권선구 세권로315번길 7, (권선동)"
16,,,수원모아미래도점, 
17,경기도,수원시,수원미래사랑점,"경기도 수원시 권선구 효원로230번길 38, (권선동, 대우미래사랑) 101동 106호"
18,경기도,수원시,수원백설점,경기도 수원시 장안구 대평로89번길 10 백설마을주공아파트
19,,,수원버드내점, 
20,경기도,수원시,수원본점,"경기도 수원시 팔달구 향교로 11-2, (매산로1가)"
21,경기도,수원시,수원북수소망점,"경기도 수원시 팔달구 정조로886번길 7, (북수동)"
22,경기도,수원시,수원삼성전자영통문점,"경기도 수원시 영통구 신원로 188, (매탄동)"
23,경기도,수원시,수원샤르망점,"경기도 수원시 팔달구 인계로166번길 48-21, 수원샤르망오피스텔 (인계동) 106호"
24,,,수원서둔로점, 
25,경기도,수원시,수원서둔스카이점,"경기도 수원시 권선구 서호동로 26, (서둔동)"
26,경기도,수원시,수원서둔점,"경기도 수원시 권선구 상탑로 132-16, (서둔동)"
27,경기도,수원시,수원선경점,"경기도 수원시 장안구 정자로123번길 2, (정자동)"
28,경기도,수원시,수원성광점,"경기도 수원시 팔달구 장다리로 245, 코너  (인계동) 1층"
29,경기도,수원시,수원성균관점,"경기도 수원시 장안구 서부로2106번길 21, (율전동)"
30,경기도,수원시,수원세권점,"경기도 수원시 권선구 장다리로 50, (세류동)"
31,경기도,수원시,수원세류3동점,"경기도 수원시 권선구 세지로28번길 37, (세류동)"
32,경기도,수원시,수원세류사랑점,"경기도 수원시 권선구 경수대로191번길 12, (세류동)"
33,경기도,수원시,수원세류은혜점,"경기도 수원시 권선구 경수대로277번길 19,  (세류동)"
34,경기도,수원시,수원세류타운점,"경기도 수원시 권선구 정조로525번길 16, (세류동)"
35,경기도,수원시,수원세종점,"경기도 수원시 권선구 효원로256번길 15,  (권선동, 세종그랑시아) 1층 1동"
36,,,수원세종타운점, 
