,loc1,loc2,name,location
0,충청남도,보령시,보령현대점,"충청남도 보령시 동현로 34, (동대동)"
1,서울특별시,성북구,보문부강점,서울특별시 성북구 보문로29길 17 백제빌딩
2,서울특별시,성북구,보문좋은점,"서울특별시 성북구 지봉로 175, (보문동2가)"
3,,,보문파크뷰점, 
4,전라남도,보성군,보성역점,"전라남도 보성군 보성읍 신흥길 2, (보성리)"
5,전라남도,보성군,보성회천점,전라남도 보성군 회천면 충의로 1
6,부산광역시,중구,보수원룸점,"부산광역시 중구 보수대로124번길 25-2, (보수동2가)"
7,부산광역시,중구,보수중앙점,"부산광역시 중구 흑교로 45, (보수동2가)"
8,,,보은산업단지점, 
9,충청북도,보은군,보은속리산점,"충청북도 보은군 속리산면 법주사로 235-1, (사내리)"
10,충청북도,보은군,보은신제일점,"충청북도 보은군 보은읍 보은로 110, (삼산리) 1호"
11,충청북도,보은군,보은이평점,"충청북도 보은군 보은읍 뱃들로 47, (이평리)"
12,충청북도,보은군,보은점,"충청북도 보은군 보은읍 삼산남로 47, (삼산리, 대림드림빌라)"
13,충청북도,보은군,보은터미널점,"충청북도 보은군 보은읍 삼산남로 8, (삼산리)"
14,경기도,용인시,보정동아점,"경기도 용인시 기흥구 보정로 30, (보정동, 행원마을동아솔레시티1단지아파트)"
15,경기도,용인시,보정자이점,경기도 용인시 기흥구 용구대로2469번길 20 자이아파트
16,울산광역시,중구,복산서원점,울산광역시 중구 서원7길 18
17,울산광역시,중구,복산한비점,"울산광역시 중구 도화골4길 2, (복산동)"
18,대전광역시,서구,복수마루미점,"대전광역시 서구 복수중로 30, 상가(복수동, 오량마을마루미그린채아파트) 104호"
19,부산광역시,서구,복음병원점,"부산광역시 서구 감천로 255, (암남동)"
20,경기도,성남시,복정빌리지점,경기도 성남시 수정구 복정로134번길 22 - 10 (복정동) 복정동
21,경기도,성남시,복정성공점,"경기도 성남시 수정구 복정로106번길 1, (복정동)"
22,경기도,성남시,복정원룸점,"경기도 성남시 수정구 복정로96번길 18, (복정동)"
23,경기도,성남시,복정으뜸점,"경기도 성남시 수정구 성남대로1390번길 25-2, (복정동)"
24,경기도,성남시,복정하나점,"경기도 성남시 수정구 복정로 135, 미보빌딩  (복정동)"
25,서울특별시,노원구,복지공릉충전소점,서울특별시 노원구 화랑로 826
26,,,복지노원충전소점, 
27,경기도,의정부시,복지북부충전소점,"경기도 의정부시 평화로 75, (호원동)"
28,부산광역시,동래구,복천우성점,부산광역시 동래구 복천로 4
29,대구광역시,북구,복현대로점,"대구광역시 북구 동북로 263, (복현동)"
30,대구광역시,북구,복현점,"대구광역시 북구 경진로1길 10, (복현동)"
31,대구광역시,북구,복현푸르지오점,"대구광역시 북구 동북로 345, 상가  120(복현동, 복현푸르지오)"
32,대구광역시,달서구,본리점,"대구광역시 달서구 와룡로 90, (본리동)"
33,대구광역시,달서구,본리제일점,"대구광역시 달서구 와룡로 85, (본리동)"
34,경기도,안산시,본오밀레니엄점,"경기도 안산시 상록구 반석로 121, (본오동) 1층 103호"
35,경기도,안산시,본오풍년점,"경기도 안산시 상록구 선암로 34-1, (본오동) 102호"
36,광주광역시,북구,본촌타운점,광주광역시 북구 상촌로43번길 54
37,경상북도,구미시,봉곡서로점,"경상북도 구미시 봉곡서로 21, (봉곡동)"
38,경상북도,구미시,봉곡점,"경상북도 구미시 봉곡남로 129, (봉곡동)"
39,경기도,안성시,봉남점,"경기도 안성시 중앙로419번길 16-5, (봉남동)"
40,경기도,화성시,봉담당하점,"경기도 화성시 봉담읍 삼천병마로 870, (당하리)"
41,경기도,화성시,봉담유리점,"경기도 화성시 봉담읍 시청로 1419, (유리)"
42,대구광역시,남구,봉덕대로점,"대구광역시 남구 봉덕로 26, (봉덕동)"
43,전라북도,완주군,봉동원룸점,"전라북도 완주군 봉동읍 둔산2로 47, (둔산리)"
44,충청남도,천안시,봉명스마일점,"충청남도 천안시 동남구 순천향3길 37, (봉명동)"
45,대구광역시,동구,봉무태왕아너스점,"대구광역시 동구 팔공로 241, 태왕아너스타워상가 호(봉무동) 131호"
46,광주광역시,남구,봉선라인점,"광주광역시 남구 용대로 130, (봉선동)"
47,광주광역시,남구,봉선솔뫼점,"광주광역시 남구 봉선로 127, (봉선동, 솔뫼렉스케이원) 205호"
48,광주광역시,남구,봉선쌍용점,"광주광역시 남구 봉선로 164, (봉선동) 104호"
49,광주광역시,남구,봉선점,"광주광역시 남구 봉선중앙로 134, (봉선동)"
50,광주광역시,남구,봉선중앙점,"광주광역시 남구 봉선2로 34, (봉선동)"
51,광주광역시,남구,봉선지웰점,광주광역시 남구 봉선중앙로 68 테라코라아동미술학원
52,경상남도,창원시,봉암공단점,"경상남도 창원시 마산회원구 봉암공단3길 120, (봉암동)"
53,경기도,양주시,봉양점,"경기도 양주시 칠봉산로 307, (봉양동)"
54,경기도,파주시,봉일천점,"경기도 파주시 조리읍 봉천로 46, (봉일천리)"
55,서울특별시,관악구,봉천대로점,서울특별시 관악구 남부순환로 1713-7 동해빌딩
56,서울특별시,관악구,봉천승리점,서울특별시 관악구 행운7길 16
57,서울특별시,관악구,봉천역점,"서울특별시 관악구 남부순환로 1742,  (봉천동) 1층"
58,서울특별시,관악구,봉천장미점,"서울특별시 관악구 인헌길 123, (봉천동)"
59,서울특별시,관악구,봉천제일점,"서울특별시 관악구 양녕로 29, (봉천동)"
60,강원도,평창군,봉평메밀점,"강원도 평창군 봉평면 기풍로 150,  (창동리) 1층"
61,,,봉하대통점, 
62,경상북도,봉화군,봉화강변점,"경상북도 봉화군 봉화읍 내성로5길 22-18, (내성리)"
63,경상북도,봉화군,봉화중앙점,"경상북도 봉화군 봉화읍 봉화로 1193, (내성리)"
64,세종특별자치시,부강면,부강대로점,"세종특별자치시 부강면 청연로 161, (부강리)"
65,세종특별자치시,부강면,부강점,"세종특별자치시 부강면 부강로 1, (부강리)"
66,인천광역시,부평구,부개3동점,"인천광역시 부평구 충선로 174, (부개동)"
67,인천광역시,부평구,부개5단지점,"인천광역시 부평구 부개로 9, (부개동)"
68,인천광역시,부평구,부개먹자대로점,"인천광역시 부평구 수변로78번길 11, (부개동)"
69,인천광역시,부평구,부개무지개점,"인천광역시 부평구 길주로 640, (부개동, 대동아파트)"
70,인천광역시,부평구,부개오성점,인천광역시 부평구 길주남로114번길 20 롯데탑스빌
71,인천광역시,부평구,부개점,"인천광역시 부평구 부흥로 420, (부개동)"
72,인천광역시,부평구,부개중앙점,"인천광역시 부평구 마분로19번길 3, (부개동)"
73,인천광역시,부평구,부개크라운점,"인천광역시 부평구 경인로1058번길 13, (부개동)"
74,부산광역시,남구,부경대2호점,"부산광역시 남구 수영로322번길 22, (대연동)"
75,부산광역시,남구,부경대미래관점,"부산광역시 남구 용소로 45, 부경대학교  미래관(대연동)"
76,경상남도,김해시,부경일루미아점,"경상남도 김해시 가락대로 929-1, (수가동)"
77,부산광역시,남구,부경해오름점,"부산광역시 남구 용소로19번길 26, (대연동)"
78,부산광역시,금정구,부곡글로리점,"부산광역시 금정구 중앙대로1778번길 37, (부곡동)"
79,부산광역시,금정구,부곡리젠시점,"부산광역시 금정구 부곡로 28, (부곡동)"
80,부산광역시,금정구,부곡사랑점,"부산광역시 금정구 부곡로126번길 20, (부곡동)"
81,부산광역시,금정구,부곡서희점,부산광역시 금정구 수림로20번길 33
