,loc1,loc2,name,location
0,경기도,남양주시,진접원일점,"경기도 남양주시 진접읍 내각1로73번안길 25, (내각리)"
1,경기도,남양주시,진접으뜸점,"경기도 남양주시 진접읍 해밀예당1로 50-47, 리첸타워  (금곡리)"
2,경기도,남양주시,진접인스빌점,"경기도 남양주시 진접읍 해밀예당2로 8, 1080 제1(금곡리, 신안인스빌아파트) 101호"
3,,,진접최고점, 
4,경기도,남양주시,진접팔야리점,경기도 남양주시 진접읍 팔야로 193
5,경상남도,진주시,진주가좌대영점,"경상남도 진주시 진주대로 530, 폴리비안빌딩 (가좌동) 1층 102호"
6,경상남도,진주시,진주가좌원룸점,"경상남도 진주시 개양로6번길 8, (가좌동)"
7,경상남도,진주시,진주가좌점,"경상남도 진주시 가좌길 52, (가좌동)"
8,경상남도,진주시,진주가호올리움점,"경상남도 진주시 가호로 17-10, (가좌동, 올리움)"
9,경상남도,진주시,진주강남대경점,"경상남도 진주시 진주대로 897-1, (강남동)"
10,경상남도,진주시,진주강남로점,"경상남도 진주시 강남로 167, (칠암동)"
11,경상남도,진주시,진주개양점,"경상남도 진주시 호탄길 9, (호탄동)"
12,경상남도,진주시,진주계동2호점,"경상남도 진주시 촉석로177번길 5, (계동)"
13,경상남도,진주시,진주교대점,"경상남도 진주시 진양호로369번길 3, (신안동)"
14,경상남도,진주시,진주금곡점,경상남도 진주시 금곡면 월아산로 127
15,경상남도,진주시,진주금산루벤스점,경상남도 진주시 금산면 금산로 50
16,경상남도,진주시,진주뉴봉곡점,"경상남도 진주시 진주대로1143번길 6, (봉곡동)"
17,경상남도,진주시,진주대곡점,"경상남도 진주시 대곡면 남강로2438번길 32, (유곡리)"
18,경상남도,진주시,진주대교주유소점,"경상남도 진주시 대신로 113, (상평동)"
19,경상남도,진주시,진주대안점,"경상남도 진주시 진양호로527번길 6-1, (대안동)"
20,경상남도,진주시,진주동문점,"경상남도 진주시 망경로298번길 4, (강남동)"
21,경상남도,진주시,진주동성점,"경상남도 진주시 진주대로1040번길 6, (동성동)"
22,경상남도,진주시,진주들말흥한점,"경상남도 진주시 석갑로 45, 상가(평거동, 들말흥한타운) 102호"
23,경상남도,진주시,진주미래병원점,"경상남도 진주시 진주대로 957, 진주미래여성병원  (강남동)"
24,경상남도,진주시,진주반성터미널점,"경상남도 진주시 일반성면 동부로 1946, (창촌리)"
25,경상남도,진주시,진주보건대점,"경상남도 진주시 의병로 55, (상봉동)"
26,경상남도,진주시,진주봉곡드림점,"경상남도 진주시 창렬로 42,  (봉곡동) 1층"
27,경상남도,진주시,진주봉곡서부점,"경상남도 진주시 진주대로 1196,  (봉곡동) 1층"
28,경상남도,진주시,진주사봉산업단지점,"경상남도 진주시 사봉면 산업단지로 32,  (사곡리) 1층"
29,경상남도,진주시,진주상대동부점,"경상남도 진주시 대신로 295, (상대동)"
30,경상남도,진주시,진주상대선우점,경상남도 진주시 모덕로 139 (상대동) 0
31,경상남도,진주시,진주상봉스타점,"경상남도 진주시 북장대로 75-1, (상봉동)"
32,경상남도,진주시,진주상봉일신점,"경상남도 진주시 창렬로 192, (상봉동)"
33,경상남도,진주시,진주상봉점,"경상남도 진주시 상봉대룡길 7, (상봉동)"
34,경상남도,진주시,진주상봉좋은점,경상남도 진주시 창렬로92번길 15
35,경상남도,진주시,진주상평공단점,"경상남도 진주시 대신로 195, (상평동)"
36,경상남도,진주시,진주상평동일점,"경상남도 진주시 공단로 26, 1상가동 104  상평동동일스위트(상평동, 상평동동일스위트아파트) 105호"
37,경상남도,진주시,진주상평우신점,"경상남도 진주시 큰들로 116, (상평동)"
38,경상남도,진주시,진주상평행복점,경상남도 진주시 공단로 115
39,경상남도,진주시,진주석갑로점,"경상남도 진주시 석갑로142번길 18, (신안동)"
40,경상남도,진주시,진주선학점,"경상남도 진주시 모덕로269번길 1, (하대동) 1층"
41,경상남도,진주시,진주시청사거리점,경상남도 진주시 솔밭로 111
42,경상남도,진주시,진주시청점,"경상남도 진주시 솔밭로 140, (상대동)"
43,경상남도,진주시,진주신안반딧불점,"경상남도 진주시 진양호로 276, (신안동)"
44,경상남도,진주시,진주신안행복점,"경상남도 진주시 남강로503번길 16-2, (신안동)"
45,경상남도,진주시,진주신안현대점,"경상남도 진주시 진양호로 308, 상가동(신안동, 평거현대2차아파트) 111호"
46,경상남도,진주시,진주신평점,"경상남도 진주시 평거로14번길 13, (평거동)"
47,경상남도,진주시,진주에이스점,"경상남도 진주시 촉석로 183, 1(중안동) 4호"
48,경상남도,진주시,진주에일린의뜰점,"경상남도 진주시 강변길20번길 9,  (가좌동)"
49,경상남도,진주시,진주엠비씨점,"경상남도 진주시 가호로 46, (호탄동)"
50,경상남도,진주시,진주연암공대앞점,"경상남도 진주시 진주대로 624, (가좌동)"
51,경상남도,진주시,진주오거리점,"경상남도 진주시 진주대로 570, (가좌동)"
52,경상남도,진주시,진주우리들점,"경상남도 진주시 창렬로 81, (상봉동)"
53,경상남도,진주시,진주유등축제1호점,경상남도 진주시 강남로 356-6
54,경상남도,진주시,진주유등축제2호점,경상남도 진주시 남강로 626 진주성
55,경상남도,진주시,진주이현경남빌점,"경상남도 진주시 숙호산로 52-1, (이현동, 경남빌라) 1층 가동 1호"
56,경상남도,진주시,진주정촌산단점,"경상남도 진주시 정촌면 정촌로 102, (예하리)"
57,경상남도,진주시,진주정촌아울렛점,"경상남도 진주시 정촌면 정촌로 15, (화개리)"
58,경상남도,진주시,진주제일여고점,"경상남도 진주시 대신로343번길 20, (하대동)"
59,경상남도,진주시,진주주약현대점,"경상남도 진주시 진주대로815번길 10, (주약동)"
60,경상남도,진주시,진주초장루비채점,"경상남도 진주시 초북로 88, (초전동, 초전해모로루비채2단지아파트) 1층 101호"
61,경상남도,진주시,진주초장미소점,경상남도 진주시 초전북로61번길 29 (초전동)
62,,,진주초장세화점, 
63,경상남도,진주시,진주초장아빌점,"경상남도 진주시 초전북로61번길 15-16, (초전동)"
64,경상남도,진주시,진주초장해모로점,"경상남도 진주시 초북로 55, (초전동, 초전해모로루비채4단지아파트) 1층 102호"
65,경상남도,진주시,진주초전점,"경상남도 진주시 대신로457번길 14, (초전동)"
66,경상남도,진주시,진주초전흥한점,"경상남도 진주시 초전남로 30, (초전동, 초전흥한황토방아파트)"
67,경상남도,진주시,진주칠암우리점,경상남도 진주시 진주대로930번길 11-14
68,경상남도,진주시,진주칠암플러스점,"경상남도 진주시 강남로177번길 29, 일부  (칠암동) 1층"
69,경상남도,진주시,진주파란하늘점,"경상남도 진주시 진양호로115번길 11, (평거동)"
70,경상남도,진주시,진주평거엘크루점,"경상남도 진주시 새들말로 66, (평거동)"
71,경상남도,진주시,진주평거웰가점,"경상남도 진주시 새평거로 25, (평거동, 더퀸즈웰가) 108호"
72,경상남도,진주시,진주평거점,"경상남도 진주시 평거로9번길 18, (평거동)"
73,경상남도,진주시,진주평거코앞점,"경상남도 진주시 남강로309번길 44, 코앞2빌딩 101(평거동) 102호"
74,경상남도,진주시,진주평안사랑점,경상남도 진주시 의곡길 18
75,경상남도,진주시,진주하대동남점,"경상남도 진주시 도동로183번길 12, (하대동)"
76,경상남도,진주시,진주하대점,"경상남도 진주시 도동로247번길 11, (하대동)"
77,경상남도,진주시,진주하대중앙점,"경상남도 진주시 도동로 232, (하대동)"
78,경상남도,진주시,진주혁신반딧불점,"경상남도 진주시 에나로 69, (충무공동)"
79,경상남도,진주시,진주혁신엠에스점,"경상남도 진주시 충의로 20-4, MS상가 (충무공동) 105호"
80,경상남도,진주시,진주혁신우람점,"경상남도 진주시 에나로 103-7, (충무공동)"
81,,,진주혁신일번지점, 
82,,,진주혁신플라워점, 
83,경상남도,진주시,진주혁신한림점,"경상남도 진주시 소호로 39, (충무공동, 한림풀에버) 131동 104호"
84,경상남도,진주시,진주호탄점,"경상남도 진주시 가호로 78, (호탄동)"
85,충청북도,진천군,진천21세기점,"충청북도 진천군 진천읍 중앙동4길 37, (읍내리)"
86,대구광역시,달서구,진천AK점,대구광역시 달서구 월배로11길 33 진천역AK그랑폴리스아파트
87,충청북도,진천군,진천KT점,"충청북도 진천군 진천읍 중앙서로 20, (읍내리)"
88,충청북도,진천군,진천광혜원,"충청북도 진천군 광혜원면 진광로 1535-18, (광혜원리)"
89,충청북도,진천군,진천덕산대로점,"충청북도 진천군 덕산면 이덕로 774-1, (합목리)"
90,충청북도,진천군,진천덕산우방점,충청북도 진천군 덕산면 덕금로 836 (용몽리)
91,충청북도,진천군,진천덕산우체국점,"충청북도 진천군 덕산면 몽촌2길 2, (용몽리)"
92,,,진천덕산중앙점, 
93,충청북도,진천군,진천로타리점,"충청북도 진천군 진천읍 남산7길 3, (교성리)"
94,대구광역시,달서구,진천만금점,대구광역시 달서구 상화로29길 22
95,대구광역시,달서구,진천맛타운점,"대구광역시 달서구 진천로16길 39, (진천동)"
96,충청북도,진천군,진천봉산점,"충청북도 진천군 진천읍 문화로 118, (교성리)"
97,,,진천산수센터점, 
98,충청북도,진천군,진천산수원룸점,"충청북도 진천군 덕산면 합목3길 13-2, (합목리)"
99,충청북도,진천군,진천성석점,"충청북도 진천군 진천읍 문화로 361, (성석리)"
100,충청북도,진천군,진천송두점,"충청북도 진천군 진천읍 덕금로 143, (송두리)"
101,대구광역시,달서구,진천아델스타워점,대구광역시 달서구 진천로 107
102,대구광역시,달서구,진천이안점,"대구광역시 달서구 진천로18길 17, (대천동)"
103,충청북도,진천군,진천이월점,"충청북도 진천군 이월면 진광로 794-1, (송림리)"
104,충청북도,진천군,진천장관부영점,충청북도 진천군 진천읍 장관2길 139-1 사랑으로1차부영아파트상가
105,충청북도,진천군,진천제일점,"충청북도 진천군 진천읍 백사천길 53, (읍내리)"
106,대구광역시,달서구,진천진달래공원점,"대구광역시 달서구 상원로1길 69, (진천동)"
107,대구광역시,달서구,진천태왕점,대구광역시 달서구 상화로9길 23
108,충청북도,진천군,진천터미널점,"충청북도 진천군 진천읍 중앙북1길 3, (벽암리)"
109,충청북도,진천군,진천하이빌점,"충청북도 진천군 진천읍 중앙서로 77, (교성리, 유경하이빌) 101호"
110,,,진천화랑점, 
111,경상북도,구미시,진평원룸점,"경상북도 구미시 인동24길 11, (진평동)"
112,경상남도,창원시,진해경화대로점,"경상남도 창원시 진해구 진해대로624번길 1, (경화동)"
113,경상남도,창원시,진해경화점,"경상남도 창원시 진해구 병암북로 4, (경화동)"
114,경상남도,창원시,진해경화중앙점,"경상남도 창원시 진해구 중초로 17, (경화동)"
115,경상남도,창원시,진해남명점,"경상남도 창원시 진해구 웅동로 72, (마천동) 106동 107호"
116,,,진해남문중앙점, 
