,loc1,loc2,name,location,loc
7503,인천,계양구,효성제일점,인천광역시 계양구 아나지로198번길 11 금호어울림아파트,인천 계양구
7504,인천,계양구,효성해인점,"인천광역시 계양구 아나지로 87, (효성동)",인천 계양구
7505,인천,계양구,효일사거리점,"인천광역시 계양구 효서로 141, (효성동)",인천 계양구
7506,전북,전주시,효자서부리턴점,"전라북도 전주시 완산구 척동3길 1, (효자동3가)",전북 전주시
7507,전북,전주시,효자솔하우스점,"전라북도 전주시 완산구 농소1길 1, (효자동3가)",전북 전주시
7508,전북,전주시,효자웨스트점,전라북도 전주시 완산구 효자로 161,전북 전주시
7509,경북,포항시,효자풍림아이원점,"경상북도 포항시 남구 효성로 44, (효자동)",경북 포항시
7510,광주,남구,효천2지구점,"광주광역시 남구 효우2로 26, (행암동) 102호",광주 남구
7511,광주,남구,효천천년나무점,"광주광역시 남구 효우로 260, (행암동, 효천엘에이치천년나무1단지아파트)",광주 남구
7512,서울,용산구,후암미주점,"서울특별시 용산구 후암로 71-2, (후암동) 1층",서울 용산구
7513,서울,용산구,후암아리랑점,"서울특별시 용산구 후암로 1, (후암동) 1층",서울 용산구
7514,서울,용산구,후암제일점,"서울특별시 용산구 후암로28길 49, (후암동) 1층",서울 용산구
7515,서울,용산구,후암좋아요점,"서울특별시 용산구 후암로 42-2, (후암동) 1층",서울 용산구
7516,서울,용산구,후암중앙점,"서울특별시 용산구 두텁바위로 108, (후암동) 1층",서울 용산구
7517,강원,춘천시,후평인공폭포점,"강원도 춘천시 후석로 260, (후평동)",강원 춘천시
7518,경북,울진군,후포해수욕장점,"경상북도 울진군 후포면 울진대게로 63-1, (후포리)",경북 울진군
7519,서울,동대문구,휘경점,"서울특별시 동대문구 망우로16길 26,  (휘경동) 1층",서울 동대문구
7520,서울,동대문구,휘경주공점,"서울특별시 동대문구 한천로 264, 주공프라자  (휘경동)",서울 동대문구
7521,서울,동대문구,휘경행복점,"서울특별시 동대문구 망우로12길 5, (휘경동)",서울 동대문구
7522,강원,평창군,휘닉스2호점,"강원도 평창군 봉평면 태기로 30, (무이리)",강원 평창군
7523,강원,평창군,휘닉스점,"강원도 평창군 봉평면 안흥동길 14, (무이리)",강원 평창군
7524,경북,영주시,휴천석미점,"경상북도 영주시 구성로 288, 건물  (휴천동)",경북 영주시
7525,서울,동작구,흑석로점,"서울특별시 동작구 흑석로 109-2, (흑석동)",서울 동작구
7526,서울,동작구,흑석명수대점,"서울특별시 동작구 현충로 114-1, (흑석동)",서울 동작구
7527,광주,광산구,흑석미소점,"광주광역시 광산구 풍영로101번안길 2, (흑석동)",광주 광산구
7528,서울,동작구,흑석역점,"서울특별시 동작구 현충로 92, (흑석동)",서울 동작구
7529,광주,광산구,흑석중흥점,광주광역시 광산구 풍영로145번길 15 수완중흥에스클래스2단지아파트,광주 광산구
7530,서울,동작구,흑석현대점,서울특별시 동작구 현충로 111(흑석동)  명수대현대아파트B상가 1층,서울 동작구
7531,경기,용인시,흥덕1단지점,경기도 용인시 기흥구 흥덕1로79번길 7 휴먼시아흥덕마을1단지,경기 용인시
7532,경기,용인시,흥덕스타점,"경기도 용인시 기흥구 흥덕1로 101, 스타프라자 제(영덕동) 1층 105호",경기 용인시
